City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,port lavaca,28.615,-96.6261,22.21,95,0,3.6,US,1696589828
316,bunia,1.5667,30.25,26.36,57,69,4.03,CD,1696589828
317,lompoc,34.6391,-120.4579,20.32,66,0,2.56,US,1696589829
318,pizarro,4.9533,-77.366,25.21,90,98,2.04,CO,1696589829
319,sal rei,16.1833,-22.9167,30.11,70,100,4.63,CV,1696589829
320,lysogorskaya,44.1064,43.2756,20.75,39,77,2.21,RU,1696589829
321,kapuskasing,49.4169,-82.4331,10.0,87,100,1.54,CA,1696589829
322,kirensk,57.7853,108.1119,5.57,96,100,2.24,RU,1696589830
323,humaita,-7.5061,-63.0208,27.69,53,92,1.21,BR,1696589830
324,palmer,42.1584,-72.3287,17.23,81,100,1.54,US,1696589830
325,puerto ayacucho,5.6639,-67.6236,24.04,91,99,1.07,VE,1696589831
326,fort mcmurray,56.7268,-111.381,-1.23,86,100,1.54,CA,1696589831
327,odienne,9.51,-7.5692,27.63,77,91,1.81,CI,1696589832
328,khandyga,62.6667,135.6,-2.87,96,100,1.06,RU,1696589832
329,baley,51.6,116.6333,7.09,52,71,2.21,RU,1696589833
330,mount airy,36.4993,-80.6073,17.81,83,100,1.79,US,1696589833
331,labrador city,52.9463,-66.9114,11.95,94,100,0.0,CA,1696589833
332,sanctuary point,-35.1114,150.629,14.86,58,74,6.19,AU,1696589833
333,novo aripuana,-5.1206,-60.3797,28.48,58,82,1.43,BR,1696589834
334,rio grande,-32.035,-52.0986,16.64,74,90,3.66,BR,1696589834
335,shumerlya,55.5005,46.4129,14.77,47,100,4.32,RU,1696589834
336,kharhial,20.2833,82.7667,30.22,71,79,1.19,IN,1696589834
337,quelimane,-17.8786,36.8883,32.97,52,20,7.2,MZ,1696589834
338,chester,40.1254,-75.8749,18.77,97,100,2.06,US,1696589703
339,syktyvkar,61.6764,50.8099,8.85,87,100,4.02,RU,1696589835
340,cam pha mines,21.0167,107.3,26.65,80,72,2.78,VN,1696589568
341,borogontsy,62.6683,131.1683,-4.51,97,99,1.38,RU,1696589835
342,lobujya,27.95,86.8167,0.68,85,27,1.11,NP,1696589836
343,i-n-salah,27.1935,2.4607,33.25,18,0,8.65,DZ,1696589836
344,tsiombe,-25.3,45.4833,34.37,18,0,6.61,MG,1696589836
345,arteche,12.2645,125.4048,26.69,84,18,0.3,PH,1696589837
346,lichuan,30.3,108.85,11.5,99,100,1.02,CN,1696589837
347,broken hill,-31.95,141.4333,13.83,48,24,5.1,AU,1696589838
348,sabha,27.0377,14.4283,28.88,22,1,2.99,LY,1696589839
349,mbekenyera,-10.0,38.9833,32.36,36,39,4.73,TZ,1696589839
350,ibiza,38.9088,1.433,26.23,76,20,2.57,ES,1696589592
351,bozeman,45.6796,-111.0386,7.18,78,100,4.47,US,1696589839
352,abra pampa,-22.7205,-65.697,6.42,12,86,0.84,AR,1696589839
353,port-vila,-17.7338,168.3219,20.78,94,100,1.03,VU,1696589840
354,luderitz,-26.6481,15.1594,19.18,65,8,9.54,NA,1696589840
355,villa angela,-27.5738,-60.7153,16.92,59,91,3.63,AR,1696589840
356,caleta de carquin,-11.0925,-77.6267,18.41,93,89,4.72,PE,1696589840
357,nalut,30.3333,10.85,26.82,28,0,4.17,LY,1696589841
358,sao joao del rei,-21.1356,-44.2617,24.89,71,49,1.6,BR,1696589841
359,hadibu,12.65,54.0333,29.75,63,3,1.67,YE,1696589841
360,quellon,-43.1167,-73.6167,4.59,84,28,3.82,CL,1696589842
361,kangding,30.0513,101.9603,9.39,99,100,0.96,CN,1696589842
